0,1,2,3,4,5,6
Sr. No.,College Code,College Name,District,Branch,Convenor seats,Fee Structure
1,AARM,AAR MAHAVEER ENGINEERING COLLEGE,Hyderabad,CSE,6,48000
2,AARM,AAR MAHAVEER ENGINEERING COLLEGE,Hyderabad,CSM,7,48000
3,AARM,AAR MAHAVEER ENGINEERING COLLEGE,Hyderabad,ECE,6,48000
4,AARM,AAR MAHAVEER ENGINEERING COLLEGE,Hyderabad,EEE,7,48000
5,AARM,AAR MAHAVEER ENGINEERING COLLEGE,Hyderabad,MEC,7,48000
6,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,CIV,6,82000
7,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,CSD,7,82000
8,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,CSE,20,82000
9,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,CSM,19,82000
10,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,CSO,7,82000
11,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,ECE,13,82000
12,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,EEE,7,82000
13,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,INF,6,"82,000"
14,ACEG,A C E ENGINEERING COLLEGE (AUTONOMOUS),Medchal,MEC,7,"82,000"
15,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,Ranga Reddy,CIV,3,"66,000"
16,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,Ranga Reddy,CSE,13,"66,000"
17,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,Ranga Reddy,ECE,7,"66,000"
18,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,Ranga Reddy,EEE,6,"66,000"
19,AITH,ANNAMACHARYA INST OF TECHNOLOGY AND SCI,Ranga Reddy,MEC,7,"66,000"
20,AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,Mancherial,CSE,3,"40,000"
21,AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,Mancherial,EEE,1,"40,000"
22,AIZA,AIZZA COLLEGE OF ENGG AND TECHNOLOGY,Mancherial,MIN,3,"40,000"
23,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,Kothagudem,CIV,6,"52,000"
24,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,Kothagudem,CSE,7,"52,000"
25,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,Kothagudem,ECE,3,"52,000"
26,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,Kothagudem,EEE,7,"52,000"
27,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,Kothagudem,MEC,6,"52,000"
28,AKIT,ABDULKALAM INST OF TECHNOLOGY AND SCI,Kothagudem,MIN,7,"52,000"
29,ANRK,ANURAG ENGINEERING COLLGE,Suryapet,CIV,13,"73,000"
30,ANRK,ANURAG ENGINEERING COLLGE,Suryapet,CSE,20,"73,000"
31,ANRK,ANURAG ENGINEERING COLLGE,Suryapet,ECE,13,"73,000"
32,ANRK,ANURAG ENGINEERING COLLGE,Suryapet,EEE,13,"73,000"
33,ANRK,ANURAG ENGINEERING COLLGE,Suryapet,MEC,7,"73,000"
34,ANRP,ANURAG PHARMACY COLLEGE,Suryapet,PHM,11,"65,000"
35,ANWP,ANWAR-ULOOM COLLEGE OF PHARMACY,Hyderabad,PHM,10,"65,000"
36,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,Ranga Reddy,CIV,6,"57,000"
37,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,Ranga Reddy,CSE,7,"57,000"
38,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,Ranga Reddy,CSM,6,"57,000"
39,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,Ranga Reddy,ECE,7,"57,000"
40,ARJN,ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE,Ranga Reddy,EEE,7,"57,000"
41,ARYA,ARYA COLLEGE OF PHARMACY,Sangareddy,PHM,11,"45,000"
42,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,Ranga Reddy,CIV,6,"50,000"
43,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,Ranga Reddy,CSE,7,"50,000"
44,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,Ranga Reddy,CSM,7,"50,000"
45,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,Ranga Reddy,ECE,7,"50,000"
46,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,Ranga Reddy,EEE,7,"50,000"
47,ASRA,AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY,Ranga Reddy,MEC,6,"50,000"
48,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,Medchal,CSE,20,"60,000"
49,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,Medchal,CSM,14,"60,000"
50,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,Medchal,ECE,13,"60,000"
51,AURG,AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,Medchal,INF,6,"60,000"
52,AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,Medchal,CIV,13,"72,000"
53,AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,Medchal,CSE,26,"72,000"
54,AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,Medchal,CSM,13,"72,000"
55,AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,Medchal,ECE,27,"72,000"
56,AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,Medchal,EEE,13,"72,000"
57,AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,Medchal,INF,13,"72,000"
58,AURP,AURORAS TECHNOLOGICAL AND RESEARCH INSTITUTE,Medchal,MEC,7,"72,000"
59,AVHP,AVANTHI INST OF PHARMSCI,Ranga Reddy,PHM,11,"55,000"
60,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,Ranga Reddy,CSD,6,"65,000"
61,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,Ranga Reddy,CSE,20,"65,000"
62,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,Ranga Reddy,CSM,7,"65,000"
63,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,Ranga Reddy,ECE,13,"65,000"
64,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,Ranga Reddy,EEE,6,"65,000"
65,AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,Ranga Reddy,MEC,7,"65,000"
66,AVNI,AVN INST OF ENGG TECHNOLOGY,Ranga Reddy,CIV,6,"78,000"
67,AVNI,AVN INST OF ENGG TECHNOLOGY,Ranga Reddy,CSC,7,"78,000"
68,AVNI,AVN INST OF ENGG TECHNOLOGY,Ranga Reddy,CSD,7,"78,000"
69,AVNI,AVN INST OF ENGG TECHNOLOGY,Ranga Reddy,CSE,20,"78,000"
70,AVNI,AVN INST OF ENGG TECHNOLOGY,Ranga Reddy,CSM,13,"78,000"
71,AVNI,AVN INST OF ENGG TECHNOLOGY,Ranga Reddy,ECE,14,"78,000"
72,AVNI,AVN INST OF ENGG TECHNOLOGY,Ranga Reddy,MEC,6,"78,000"
73,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,CIV,13,"89,000"
74,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,CSD,6,"89,000"
75,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,CSE,27,"89,000"
76,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,CSM,13,"89,000"
77,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,ECE,26,"89,000"
78,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,EEE,7,"89,000"
79,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,INF,13,"89,000"
80,BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,Ranga Reddy,MEC,7,"89,000"
81,BIPS,BALAJI INST OF PHARM SCI,Warangal,PHM,11,"45,000"
82,BIPT,BHARAT SCHOOL OF PHARMACY,Ranga Reddy,PHM,11,"60,000"
83,BITL,BHARAT INSTITUTE OF TECHNOLOGY,Ranga Reddy,PHM,11,"60,000"
84,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,CIV,13,"50,000"
85,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,CSE,20,"50,000"
86,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,CSM,6,"50,000"
87,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,CSO,7,"50,000"
88,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,CSW,6,"50,000"
89,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,ECE,20,"50,000"
90,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,EEE,13,"50,000"
91,BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,Warangal,MEC,7,"50,000"
92,BNPW,BOJJAM NARASIMHULU PHARM COLL FOR WOMEN,Hyderabad,PHM,8,"52,000"
93,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,Khammam,CIV,3,"50,400"
94,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,Khammam,CSE,7,"50,400"
95,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,Khammam,CSM,7,"50,400"
96,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,Khammam,ECE,4,"50,400"
97,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,Khammam,EEE,7,"50,400"
98,BOMA,BOMMA INST OF TECHNOLOGY AND SCI,Khammam,MEC,3,"50,400"
99,BOMP,BOMMA INST OF PHARMACY,Khammam,PHM,11,"50,400"
100,BOSE,ANU BOSE INSTT OF TECHNOLOGY,Kothagudem,CIV,6,"75,000"
101,BOSE,ANU BOSE INSTT OF TECHNOLOGY,Kothagudem,CSE,7,"75,000"
102,BOSE,ANU BOSE INSTT OF TECHNOLOGY,Kothagudem,ECE,6,"75,000"
103,BOSE,ANU BOSE INSTT OF TECHNOLOGY,Kothagudem,EEE,14,"75,000"
104,BOSE,ANU BOSE INSTT OF TECHNOLOGY,Kothagudem,MEC,6,"75,000"
105,BOSE,ANU BOSE INSTT OF TECHNOLOGY,Kothagudem,MIN,7,"75,000"
106,BPCP,BHASKAR PHARMACY COLLEGE,Ranga Reddy,PHM,7,"55,000"
107,BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,Hyderabad,CSE,13,"66,000"
108,BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,Hyderabad,ECE,20,"66,000"
109,BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,Hyderabad,EEE,6,"66,000"
110,BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,Hyderabad,INF,14,"66,000"
111,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,CIV,6,"65,000"
112,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,CSD,7,"65,000"
113,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,CSE,20,"65,000"
114,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,CSN,6,"65,000"
115,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,ECE,13,"65,000"
116,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,EEE,7,"65,000"
117,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,MEC,7,"65,000"
118,BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,Ranga Reddy,PHM,11,"70,000"
119,BRIL,BRILLIANT INSTT OF ENGG AND TECHNOLOGY,Ranga Reddy,CIV,7,"65,000"
